url,xpath_result,page_type
http://retino.com/blog/5-reasons-why-customer-feedback-matters/,,
http://retino.com/blog/how-to-write-message-templates-which-dont-make-you-sound-like-a-robot/,,
http://retino.com/blog/the-perfect-return-policy/,,
http://retino.com/blog/the-importance-of-online-reviews/,,
http://retino.com/blog/pavlina-louzenska-customer-aftercare-service-as-a-key-to-success/,,
http://retino.com/blog/positive-customer-service-communication/,,
http://retino.com/blog/the-importance-of-effective-communication-with-consumers/,,
http://retino.com/blog/activate-the-new-retino-portal/,,
http://retino.com/blog/interview-miroslav-stufka/,,
http://retino.com/blog/budget-friendly-ways-thank-customers/,,
http://retino.com/blog/why-a-good-return-policy-is-important-for-retailers/,,
http://retino.com/blog/6-tips-reduce-shopping-cart-abandonment/,,
http://retino.com/blog/how-create-successful-online-store/,,
http://retino.com/blog/how-social-media-influences-shopping-behavior-of-millennials/,,
http://retino.com/blog/top-ecommerce-trends-that-are-dominating-in-2017/,,
http://retino.com/contact/,,
http://retino.com/blog/online-stores-provide-great-return-policies/,,
http://retino.com/blog/you-can-now-also-connect-retino-to-e-shops-on-the-shopware-platform/,,
http://retino.com/blog/ecommerce-trends-can-cost-conversions/,,
http://retino.com/blog/you-will-meet-retino-at-the-shopcamp-and-upterdam-conferences-in-september/,,
http://retino.com/cs/blog/,,
http://retino.com/blog/,,
http://retino.com/cs/blog/6-duvodu-proc-se-vyplati-zadat-zakazniky-o-feedback/,,
http://retino.com/cs/,,
http://retino.com/,,
http://retino.com/blog/e-shop-odkarla-cz-saves-75-of-time-thanks-to-retino-automatization/,,
http://retino.com/blog/thanks-to-retino-nakup-nabytek-cz-has-great-overview-of-returns-and-exchanges-moreover-they-save-70-of-time/,,
http://retino.com/blog/topgal-sk-uses-retino-to-pursue-extra-customer-care-this-strategy-turs-out-as-highly-profitable-in-the-long-run/,,
http://retino.com/blog/retino-automates-75-of-grizly-czs-customer-care/,,
http://retino.com/cs/blog/4-nejdulezitejsi-tipy-pro-uspesnou-reverzni-logistiku-i-v-zahranici/,,
http://retino.com/blog/building-customer-loyalty-return-policy/,,
http://retino.com/blog/benefits-collecting-customer-feedback/,,
http://retino.com/cs/blog/czech-online-expo-2019/,,
http://retino.com/cs/blog/je-tady-novy-retino-portal-jeste-efektivnejsi-sprava-vratek-a-reklamaci/,,
http://retino.com/cs/blog/informovanost-a-komunikace-nejcastejsi-nesvary-e-shopu-dle-coi/,,
http://retino.com/cs/blog/aktivujte-si-novy-retino-portal-a-prihlaste-se-na-nas-bezplatny-webinar/,,
http://retino.com/cs/blog/ceske-e-shopy-stale-neposkytuji-ponakupni-servis-na-urovni-zahranicnich-prijemne-prekvapily-sexshopy/,,
http://retino.com/cs/blog/9-vyjimek-kdy-muze-e-shop-poslat-zakaznika-se-zbozim-domu/,,
http://retino.com/cs/blog/e-shopu-odkarla-cz-setri-retino-automatizace-75-casu/,,
http://retino.com/cs/blog/grizly-case-study/,,
http://retino.com/cs/blog/kde-nakupovat-kdyz-chcete-mit-zbozi-doma-co-nejrychleji/,,
http://retino.com/cs/blog/komunikacni-faily/,,
http://retino.com/cs/blog/jste-na-shoptetu-zrychlujeme-vytvareni-dobropisu/,,
http://retino.com/cs/blog/jsou-tady-vysledky-velkeho-testu-logistiky-2022/,,
http://retino.com/cs/blog/jak-jsme-prezentovali-vysledky-velkeho-testu-logistiky/,,
http://retino.com/cs/blog/integrace-se-supportboxem-setri-desitky-minut-denne/,,
http://retino.com/cs/blog/diky-spolupraci-s-mallpay-je-vraceni-jeste-jednodussi/,,
http://retino.com/cs/blog/chcete-byt-v-obraze-prinasime-novinky-a-zajimavosti-ze-sveta-zpetnych-procesu/,,
http://retino.com/cs/blog/dva-roky-zkusenosti-s-reklamacemi-v-novem-widgetu/,,
http://retino.com/cs/blog/co-vse-pro-nas-e-shopy-delaji-navic/,,
http://retino.com/cs/blog/mezinarodni-zpetna-doprava-z-cele-eu/,,
http://retino.com/cs/blog/jak-by-mel-vypadat-idealni-proces-vraceni/,,
http://retino.com/cs/blog/nanospace-velmi-nam-pomaha-reseni-refundaci-pres-retino/,,
http://retino.com/cs/blog/nejvyhodnejsi-zpetna-doprava-pro-vase-zakazniky-nyni-za-99-kc/,,
